French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
car,because
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
premier,first
première,first
côté,side
pouvoir,power
vieux,old
matin,morning
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
